web-scraper-order,web-scraper-start-url,data001,data001-href,Nom,Prix,Adresse,Image-src
"1739055670-14","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1115802","Chiot berger allemand","200 000 CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1115802_uploaded_image1_1572126146.27.png"
"1739055673-15","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Rottweiler","https://sn.coinafrique.com/annonce/chiens/chien-rottweiler-1122493","Chien Rottweiler","375 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1122493_uploaded_image1_1572275963.13.png"
"1739055676-16","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-1123229","Chiots Berger Allemand","350 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4837526_uploaded_image1_1720683729.jpg"
"1739055680-17","https://sn.coinafrique.com/categorie/chiens?page=10","Pitbull","https://sn.coinafrique.com/annonce/chiens/pitbull-1139092","Pitbull","90 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3474335_uploaded_image1_1638955282.jpg"
"1739055683-18","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger Allemand de race pure","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-de-race-pure-1148739","Chiots Berger Allemand de race pure","125 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1148739_uploaded_image1_1572796180.58.png"
"1739055688-19","https://sn.coinafrique.com/categorie/chiens?page=10","Berger blanc","https://sn.coinafrique.com/annonce/chiens/berger-blanc-1163882","Berger blanc","200 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_4396584_uploaded_image1_1696077607.jpg"
"1739055692-20","https://sn.coinafrique.com/categorie/chiens?page=10","Bichons malté","https://sn.coinafrique.com/annonce/chiens/bichons-malte-1176190","Bichons malté","180 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_1176190_uploaded_image1_1573296965.03.png"
"1739055696-21","https://sn.coinafrique.com/categorie/chiens?page=10","Bergers - labrador - pitbull - rottweiler","https://sn.coinafrique.com/annonce/chiens/bergers-labrador-pitbull-rottweiler-1184876","Bergers - labrador - pitbull - rottweiler","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_1184876_uploaded_image1_1573492032.86.png"
"1739055698-22","https://sn.coinafrique.com/categorie/chiens?page=10","Bichon maltais","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-1208713","Bichon maltais","170 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5002622_uploaded_image1_1729418106.jpg"
"1739055702-23","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Cane Corso","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-1279844","Chiots Cane Corso","500 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2996177_uploaded_image1_1615461551.jpg"
"1739055704-24","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Pitbull","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-1339794","Chien Pitbull","150 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1339794_uploaded_image1_1576322961.44.png"
"1739055707-25","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Shih-Tzu","https://sn.coinafrique.com/annonce/chiens/chiots-shih-tzu-1381280","Chiots Shih-Tzu","250 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2536904_uploaded_image1_1597236557.jpg"
"1739055709-26","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1387279","Chiot Berger Allemand","350 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4837526_uploaded_image1_1720683729.jpg"
"1739055713-27","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Dalmatiens","https://sn.coinafrique.com/annonce/chiens/chiots-dalmatiens-1396092","Chiots Dalmatiens","450 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1396092_uploaded_image1_1577444313.67.png"
"1739055716-28","https://sn.coinafrique.com/categorie/chiens?page=10","Bebé Lhasa Apso","https://sn.coinafrique.com/annonce/chiens/bebe-lhasa-apso-1426072","Bebé Lhasa Apso","Prix sur demande","Mbour, Sénégal",""
"1739055719-29","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Chowchow","https://sn.coinafrique.com/annonce/chiens/chiots-chowchow-1444195","Chiots Chowchow","990 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2636642_uploaded_image1_1600483273.jpg"
"1739055721-30","https://sn.coinafrique.com/categorie/chiens?page=10","Spitz nain","https://sn.coinafrique.com/annonce/chiens/spitz-nain-1455313","Spitz nain","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1455313_uploaded_image1_1578601460.81.png"
"1739055724-31","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots husky sibérien - dog argentin - cane corso","https://sn.coinafrique.com/annonce/chiens/chiots-husky-siberien-dog-argentin-cane-corso-1477206","Chiots husky sibérien - dog argentin - cane corso","350 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1477206_uploaded_image1_1578994405.03.png"
"1739055726-32","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","https://sn.coinafrique.com/annonce/chiens/caniche-1502314","Caniche","100 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg"
"1739055728-33","https://sn.coinafrique.com/categorie/chiens?page=10","Caniches","https://sn.coinafrique.com/annonce/chiens/caniches-1502318","Caniches","100 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4330813_uploaded_image1_1691723836.jpg"
"1739055731-34","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","https://sn.coinafrique.com/annonce/chiens/caniche-1502366","Caniche","100 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg"
"1739055733-35","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots akita américain","https://sn.coinafrique.com/annonce/chiens/chiots-akita-americain-1536386","Chiots akita américain","990 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1536386_uploaded_image1_1580821754.85.png"
"1739055736-36","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Hight quality husky Sibérien","https://sn.coinafrique.com/annonce/chiens/chiots-hight-quality-husky-siberien-1568103","Chiots Hight quality husky Sibérien","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1568103_uploaded_image1_1580413061.76.png"
"1739055738-37","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Spitz nain","https://sn.coinafrique.com/annonce/chiens/chiot-spitz-nain-1571895","Chiot Spitz nain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4105901_uploaded_image1_1677094228.jpg"
"1739055741-38","https://sn.coinafrique.com/categorie/chiens?page=10","Spitz pomperanian nain","https://sn.coinafrique.com/annonce/chiens/spitz-pomperanian-nain-1592536","Spitz pomperanian nain","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2578678_uploaded_image1_1598473259.jpg"
"1739055743-39","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman lignée européenne","https://sn.coinafrique.com/annonce/chiens/doberman-lignee-europeenne-1592645","Doberman lignée européenne","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3495193_uploaded_image1_1640255635.jpg"
"1739055746-40","https://sn.coinafrique.com/categorie/chiens?page=10","Pékinois","https://sn.coinafrique.com/annonce/chiens/pekinois-1592664","Pékinois","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3498824_uploaded_image1_1640602505.jpg"
"1739055748-41","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman","https://sn.coinafrique.com/annonce/chiens/doberman-1621541","Doberman","400 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1621541_uploaded_image1_1581266142.61.png"
"1739055751-42","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger belge malinois","https://sn.coinafrique.com/annonce/chiens/chiot-berger-belge-malinois-1628361","Chiot berger belge malinois","175 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_1628361_uploaded_image1_1581360490.25.png"
"1739055753-43","https://sn.coinafrique.com/categorie/chiens?page=10","Cani corso","https://sn.coinafrique.com/annonce/chiens/cani-corso-1716117","Cani corso","600 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1716117_uploaded_image1_1582837304.5.png"
"1739055756-44","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Bichon","https://sn.coinafrique.com/annonce/chiens/chien-bichon-1733519","Chien Bichon","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_4124637_uploaded_image1_1678229133.jpg"
"1739055758-45","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman pure souche","https://sn.coinafrique.com/annonce/chiens/doberman-pure-souche-1803179","Doberman pure souche","350 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1803179_uploaded_image1_1584379219.84.png"
"1739055767-46","https://sn.coinafrique.com/categorie/chiens?page=9","Chien Dogue Allemand","https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-1840570","Chien Dogue Allemand","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1840570_uploaded_image2_1585048708.25.png"
"1739055769-47","https://sn.coinafrique.com/categorie/chiens?page=9","Caniches","https://sn.coinafrique.com/annonce/chiens/caniches-1840583","Caniches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4634226_uploaded_image1_1710001956.jpg"
"1739055772-48","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Spitz nain pomeranian","https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-1862107","Chiots Spitz nain pomeranian","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4105901_uploaded_image1_1677094228.jpg"
"1739055774-49","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Shiba inu","https://sn.coinafrique.com/annonce/chiens/chiots-shiba-inu-1862112","Chiots Shiba inu","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862112_uploaded_image1_1585456241.69.png"
"1739055777-50","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots pékinois pure race","https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-pure-race-1862142","Chiots pékinois pure race","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862142_uploaded_image1_1585459853.32.png"
"1739055780-51","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Dogue allemand","https://sn.coinafrique.com/annonce/chiens/chiots-dogue-allemand-1862148","Chiots Dogue allemand","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862148_uploaded_image1_1585459981.26.png"
"1739055783-52","https://sn.coinafrique.com/categorie/chiens?page=9","Femelle dogue de Bordeaux","https://sn.coinafrique.com/annonce/chiens/femelle-dogue-de-bordeaux-1862155","Femelle dogue de Bordeaux","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862155_uploaded_image1_1585460203.94.png"
"1739055786-53","https://sn.coinafrique.com/categorie/chiens?page=9","Bulldog anglais","https://sn.coinafrique.com/annonce/chiens/bulldog-anglais-1862159","Bulldog anglais","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2593026_uploaded_image1_1599001771.jpg"
"1739055789-54","https://sn.coinafrique.com/categorie/chiens?page=9","Labrador","https://sn.coinafrique.com/annonce/chiens/labrador-1869479","Labrador","200 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg"
"1739055791-55","https://sn.coinafrique.com/categorie/chiens?page=9","Métisse chiots rottweiler","https://sn.coinafrique.com/annonce/chiens/metisse-chiots-rottweiler-1890049","Métisse chiots rottweiler","50 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png"
"1739055794-56","https://sn.coinafrique.com/categorie/chiens?page=9","Chiens Malinois","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-1904735","Chiens Malinois","300 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1904735_uploaded_image1_1586214527.85.png"
"1739055796-57","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot boxer","https://sn.coinafrique.com/annonce/chiens/chiot-boxer-1935386","Chiot boxer","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935386_uploaded_image1_1586726128.5.png"
"1739055799-58","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Labrador","https://sn.coinafrique.com/annonce/chiens/chiots-labrador-1935397","Chiots Labrador","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935397_uploaded_image1_1586726397.65.png"
"1739055801-59","https://sn.coinafrique.com/categorie/chiens?page=9","Chien","https://sn.coinafrique.com/annonce/chiens/chien-1940062","Chien","400 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5124976_uploaded_image1_1736338081.jpg"
"1739055804-60","https://sn.coinafrique.com/categorie/chiens?page=9","Chien","https://sn.coinafrique.com/annonce/chiens/chien-1940073","Chien","400 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5124976_uploaded_image1_1736338081.jpg"
"1739055806-61","https://sn.coinafrique.com/categorie/chiens?page=9","CHiots Pitbull","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-1959031","CHiots Pitbull","90 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4951773_uploaded_image1_1726751081.jpg"
"1739055809-62","https://sn.coinafrique.com/categorie/chiens?page=9","Femelles  métisse rock / 4 chiennes","https://sn.coinafrique.com/annonce/chiens/femelles-metisse-rock-4-chiennes-1984265","Femelles  métisse rock / 4 chiennes","50 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg"
"1739055811-63","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Chowchow","https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2047517","Chiot Chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2636642_uploaded_image1_1600483273.jpg"
"1739055814-64","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2062558","Chiot Berger Allemand","250 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg"
"1739055816-65","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Can Corso","https://sn.coinafrique.com/annonce/chiens/chiot-can-corso-2062566","Chiot Can Corso","300 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062566_uploaded_image1_1588702172.jpg"
"1739055819-66","https://sn.coinafrique.com/categorie/chiens?page=9","Berger malinois charboné","https://sn.coinafrique.com/annonce/chiens/berger-malinois-charbone-2063869","Berger malinois charboné","300 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2063869_uploaded_image1_1588722042.jpg"
"1739055821-67","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Berger Amstaff","https://sn.coinafrique.com/annonce/chiens/chiots-berger-amstaff-2082208","Chiots Berger Amstaff","130 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2082208_uploaded_image1_1588983812.jpg"
"1739055824-68","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Yorkshire/caniche","https://sn.coinafrique.com/annonce/chiens/chiots-yorkshire-caniche-2107633","Chiots Yorkshire/caniche","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2107633_uploaded_image1_1589392557.jpg"
"1739055826-69","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots rockweile","https://sn.coinafrique.com/annonce/chiens/chiots-rockweile-2119461","Chiots rockweile","290 000 CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2119461_uploaded_image1_1589565559.jpg"
"1739055829-70","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2151223","Chiots Rottweiler","300 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg"
"1739055831-71","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Yorkie_Chon","https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-chon-2151616","Chiot Yorkie_Chon","300 000 CFA","Yoff, Dakar, Sénégal",""
"1739055833-72","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot chowchow","https://sn.coinafrique.com/annonce/chiens/chiot-chowchow-2155097","Chiot chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2636642_uploaded_image1_1600483273.jpg"
"1739055836-73","https://sn.coinafrique.com/categorie/chiens?page=9","Bichons","https://sn.coinafrique.com/annonce/chiens/bichons-2181152","Bichons","350 000 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2181152_uploaded_image1_1590585289.jpg"
"1739055838-74","https://sn.coinafrique.com/categorie/chiens?page=9","Chien","https://sn.coinafrique.com/annonce/chiens/chien-2209275","Chien","65 000 CFA","Gibraltar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2209275_uploaded_image1_1591023390.jpg"
"1739055841-75","https://sn.coinafrique.com/categorie/chiens?page=9","Berger blanc suisse","https://sn.coinafrique.com/annonce/chiens/berger-blanc-suisse-2211811","Berger blanc suisse","150 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_4296542_uploaded_image1_1689515237.jpg"
"1739055844-76","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand pure sang","https://sn.coinafrique.com/annonce/chiens/berger-allemand-pure-sang-2217466","Berger allemand pure sang","150 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2217470_uploaded_image1_1591135735.jpg"
"1739055846-77","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand pur sang","https://sn.coinafrique.com/annonce/chiens/berger-allemand-pur-sang-2217470","Berger allemand pur sang","150 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2217470_uploaded_image1_1591135735.jpg"
"1739055848-78","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots berger allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2230488","Chiots berger allemand","175 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5016564_uploaded_image1_1730217865.jpg"
"1739055851-79","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots berger belge malinois","https://sn.coinafrique.com/annonce/chiens/chiots-berger-belge-malinois-2244294","Chiots berger belge malinois","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4318517_uploaded_image1_1690980921.jpg"
"1739055854-80","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Berger blanc","https://sn.coinafrique.com/annonce/chiens/chiot-berger-blanc-2250259","Chiot Berger blanc","170 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_4296542_uploaded_image1_1689515237.jpg"
"1739055857-81","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Berger","https://sn.coinafrique.com/annonce/chiens/chiots-berger-2277897","Chiots Berger","160 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_5013765_uploaded_image1_1730056659.jpg"
"1739055859-82","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2299686","Chiots Rottweiler","400 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg"
"1739055862-83","https://sn.coinafrique.com/categorie/chiens?page=9","Berger Allemand femelle","https://sn.coinafrique.com/annonce/chiens/berger-allemand-femelle-2300480","Berger Allemand femelle","250 000 CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2300480_uploaded_image1_1592400668.jpg"
"1739055864-84","https://sn.coinafrique.com/categorie/chiens?page=9","Caniche","https://sn.coinafrique.com/annonce/chiens/caniche-2308946","Caniche","240 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4330813_uploaded_image1_1691723836.jpg"
"1739055868-85","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Bichons","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-2324363","Chiots Bichons","350 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5002622_uploaded_image1_1729418106.jpg"
"1739055871-86","https://sn.coinafrique.com/categorie/chiens?page=9","Chien berger malinois","https://sn.coinafrique.com/annonce/chiens/chien-berger-malinois-2331869","Chien berger malinois","150 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3424026_uploaded_image3_1636184109.jpeg"
"1739055874-87","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2354463","Berger allemand","350 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5131922_uploaded_image1_1736729395.jpg"
"1739055878-88","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot yorkie","https://sn.coinafrique.com/annonce/chiens/chiot-yorkie-2373725","Chiot yorkie","300 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2373725_uploaded_image1_1593562231.jpg"
"1739055880-89","https://sn.coinafrique.com/categorie/chiens?page=9","Berger allemand","https://sn.coinafrique.com/annonce/chiens/berger-allemand-2374457","Berger allemand","350 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5131922_uploaded_image1_1736729395.jpg"
"1739055883-90","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Caniche","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-2417666","Chiot Caniche","300 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4117078_uploaded_image1_1677779647.jpg"
"1739055885-91","https://sn.coinafrique.com/categorie/chiens?page=9","Malinois pur sang","https://sn.coinafrique.com/annonce/chiens/malinois-pur-sang-2425090","Malinois pur sang","250 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4312162_uploaded_image1_1690550986.jpg"
"1739055888-92","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2441977","Chiots malinois","250 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4118286_uploaded_image1_1677846223.jpg"
"1739055890-93","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots bichons","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-2443734","Chiots bichons","200 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2443734_uploaded_image1_1594839124.jpg"
