web-scraper-order,web-scraper-start-url,Data004,Data004-href,Noms,Prix,Adresse,Image-src
"1739066051-39","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Persan","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-1935403","Chaton Persan","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4004300_uploaded_image1_1670782309.jpg"
"1739066054-40","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches","https://sn.coinafrique.com/annonce/autres-animaux/vaches-1935629","Vaches","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png"
"1739066056-41","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1954085","Bœufs","Prix sur demande","Diourbel, Sénégal",""
"1739066058-42","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton","https://sn.coinafrique.com/annonce/autres-animaux/chaton-1962491","Chaton","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4540889_uploaded_image1_1705029103.jpg"
"1739066061-43","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1998573","Boeuf","475 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1998573_uploaded_image1_1587685670.89.jpeg"
"1739066064-44","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton persan chinchilla","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-chinchilla-2025374","Chaton persan chinchilla","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_3515163_uploaded_image1_1641642618.jpg"
"1739066066-45","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton persan blanc","https://sn.coinafrique.com/annonce/autres-animaux/chaton-persan-blanc-2052355","Chaton persan blanc","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2052355_uploaded_image1_1588568181.jpg"
"1739066068-46","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chèvre Race Boer","https://sn.coinafrique.com/annonce/autres-animaux/chevre-race-boer-2061898","Chèvre Race Boer","650 000 CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2061898_uploaded_image1_1588694077.jpg"
"1739066071-47","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-2088141","Boeuf","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2088141_uploaded_image1_1589099089.jpg"
"1739066074-48","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-2101700","Boeuf","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2101700_uploaded_image1_1589308300.jpg"
"1739066076-49","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf élevage","https://sn.coinafrique.com/annonce/autres-animaux/buf-elevage-2147334","Bœuf élevage","750 000 CFA","Guediawaye, Dakar, Sénégal",""
"1739066078-50","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-2161624","Boeufs","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4379382_uploaded_image1_1694875556.jpg"
"1739066081-51","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Poussins brahman et cochin","https://sn.coinafrique.com/annonce/autres-animaux/poussins-brahman-et-cochin-2230369","Poussins brahman et cochin","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2230369_uploaded_image1_1591316836.jpg"
"1739066083-52","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-2239779","Boeufs","600 000 CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg"
"1739066086-53","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton york chocolat","https://sn.coinafrique.com/annonce/autres-animaux/chaton-york-chocolat-2240976","Chaton york chocolat","150 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2240976_uploaded_image1_1591487576.jpg"
"1739066088-54","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau Nélore","https://sn.coinafrique.com/annonce/autres-animaux/taureau-nelore-2251055","Taureau Nélore","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2251055_uploaded_image1_1591656431.jpg"
"1739066091-55","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-2275120","Oies","1 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3569402_uploaded_image1_1644969388.jpg"
"1739066093-56","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-2276153","Vache","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_4504586_uploaded_image1_1702911785.jpg"
"1739066096-57","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-2281845","Oies","130 000 CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2281845_uploaded_image1_1592124037.jpg"
"1739066098-58","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-2296024","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_5138284_uploaded_image1_1737038687.jpg"
"1739066101-59","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Kittens / chatons","https://sn.coinafrique.com/annonce/autres-animaux/kittens-chatons-2319268","Kittens / chatons","90 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2319268_uploaded_image1_1592689460.jpg"
"1739066103-60","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde","https://sn.coinafrique.com/annonce/autres-animaux/dinde-2351112","Dinde","20 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_4794677_uploaded_image1_1718313441.jpg"
"1739066106-61","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat blanc turc","https://sn.coinafrique.com/annonce/autres-animaux/chat-blanc-turc-2388043","Chat blanc turc","150 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2388043_uploaded_image1_1593787521.jpg"
"1739066108-62","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couples Paons","https://sn.coinafrique.com/annonce/autres-animaux/couples-paons-2394305","Couples Paons","250 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3372722_uploaded_image1_1633568000.jpg"
"1739066111-63","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Souris blanc","https://sn.coinafrique.com/annonce/autres-animaux/souris-blanc-2407511","Souris blanc","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2407511_uploaded_image1_1594131854.jpg"
"1739066114-64","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindes","https://sn.coinafrique.com/annonce/autres-animaux/dindes-2421638","Dindes","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_2421638_uploaded_image1_1594369039.jpg"
"1739066116-65","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Géniteur hollandais Holstein","https://sn.coinafrique.com/annonce/autres-animaux/geniteur-hollandais-holstein-2430101","Géniteur hollandais Holstein","1 200 000 CFA","Mboro, Sénégal","https://images.coinafrique.com/thumb_2430101_uploaded_image1_1594560513.jpg"
"1739066119-66","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches hollandaises","https://sn.coinafrique.com/annonce/autres-animaux/vaches-hollandaises-2434087","Vaches hollandaises","Prix sur demande","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2434087_uploaded_image1_1594647765.jpg"
"1739066121-67","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-2550824","Oies","80 000 CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg"
"1739066123-68","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oiseau Maknol","https://sn.coinafrique.com/annonce/autres-animaux/oiseau-maknol-2583338","Oiseau Maknol","Prix sur demande","Kaffrine, Sénégal","https://images.coinafrique.com/thumb_2583338_uploaded_image1_1598650419.jpg"
"1739066126-69","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie","https://sn.coinafrique.com/annonce/autres-animaux/oie-2630503","Oie","100 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_4033376_uploaded_image1_1672817271.jpg"
"1739066128-70","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chatons","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2637004","Chatons","Prix sur demande","Gorée, Dakar, Sénégal","https://images.coinafrique.com/thumb_2637004_uploaded_image1_1600508302.jpg"
"1739066131-71","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Paon bleu","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-2663712","Paon bleu","225 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2663712_uploaded_image1_1601554766.jpg"
"1739066133-72","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bouc chèvre","https://sn.coinafrique.com/annonce/autres-animaux/bouc-chevre-2673741","Bouc chèvre","100 000 CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_2673741_uploaded_image2_1601909107.jpeg"
"1739066136-73","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chèvre Bouc de race","https://sn.coinafrique.com/annonce/autres-animaux/chevre-bouc-de-race-2675855","Chèvre Bouc de race","200 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2675855_uploaded_image1_1601992602.jpg"
"1739066139-74","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches laitières","https://sn.coinafrique.com/annonce/autres-animaux/vaches-laitieres-2687649","Vaches laitières","2 000 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2687649_uploaded_image1_1602441772.jpg"
"1739066141-75","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694719","Bœufs","350 000 CFA","Louga, Sénégal",""
"1739066144-76","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694720","Bœufs","350 000 CFA","Louga, Sénégal",""
"1739066146-77","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694722","Bœufs","250 000 CFA","Louga, Sénégal",""
"1739066149-78","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Âne Arabe","https://sn.coinafrique.com/annonce/autres-animaux/ane-arabe-2697117","Âne Arabe","850 000 CFA","Kébémer, Sénégal",""
"1739066151-79","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Olpliitone 20 jours","https://sn.coinafrique.com/annonce/autres-animaux/olpliitone-20-jours-2701057","Olpliitone 20 jours","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2701057_uploaded_image1_1602937383.jpg"
"1739066154-80","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Canard","https://sn.coinafrique.com/annonce/autres-animaux/canard-2703622","Canard","35 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_2703622_uploaded_image1_1603049550.jpg"
"1739066156-81","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-2709747","Vache","300 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2709747_uploaded_image1_1603289227.jpg"
"1739066158-82","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde d'amérique","https://sn.coinafrique.com/annonce/autres-animaux/dinde-damerique-2735977","Dinde d'amérique","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1739066161-83","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Angora Turc","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turc-2826620","Chaton Angora Turc","100 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2826620_uploaded_image1_1607777038.jpg"
"1739066163-84","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","https://sn.coinafrique.com/annonce/autres-animaux/vache-2846588","Vache","550 000 CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_3804681_uploaded_image1_1659094431.jpg"
"1739066166-85","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton angora","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-2851191","Chaton angora","130 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4102298_uploaded_image1_1676900131.jpg"
"1739066168-86","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Veau","https://sn.coinafrique.com/annonce/autres-animaux/veau-2856538","Veau","250 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2856538_uploaded_image1_1609162542.jpg"
"1739066171-87","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chatons","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2860327","Chatons","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_3450631_uploaded_image1_1637664547.jpg"
"1739066173-88","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Canard Colvert","https://sn.coinafrique.com/annonce/autres-animaux/canard-colvert-2876451","Canard Colvert","50 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_2876451_uploaded_image1_1610052488.jpg"
"1739066176-89","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bouc race laitière","https://sn.coinafrique.com/annonce/autres-animaux/bouc-race-laitiere-2881915","Bouc race laitière","Prix sur demande","Saly, Sénégal","https://images.coinafrique.com/thumb_2881915_uploaded_image1_1610303521.jpg"
"1739066178-90","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton noir blanc","https://sn.coinafrique.com/annonce/autres-animaux/chaton-noir-blanc-2886750","Chaton noir blanc","Prix sur demande","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_2886750_uploaded_image1_1610486302.jpg"
"1739066181-91","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde rouge","https://sn.coinafrique.com/annonce/autres-animaux/dinde-rouge-2888081","Dinde rouge","70 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2888081_uploaded_image1_1610544422.jpg"
"1739066183-92","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches - inséparables","https://sn.coinafrique.com/annonce/autres-animaux/perruches-inseparables-2896567","Perruches - inséparables","12 500 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2896567_uploaded_image1_1610914575.jpg"
"1739066186-93","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Jument arabe","https://sn.coinafrique.com/annonce/autres-animaux/jument-arabe-2924412","Jument arabe","1 500 000 CFA","Kébémer, Sénégal","https://images.coinafrique.com/thumb_2924412_uploaded_image1_1612197584.jpg"
"1739066188-94","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perroquet Sénégal avec cage","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-senegal-avec-cage-2930350","Perroquet Sénégal avec cage","35 000 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2930350_uploaded_image1_1612388040.jpg"
"1739066191-95","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple oie de toulouse adulte","https://sn.coinafrique.com/annonce/autres-animaux/couple-oie-de-toulouse-adulte-2936871","Couple oie de toulouse adulte","85 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3413662_uploaded_image1_1635765247.jpg"
"1739066193-96","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Angora turque","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turque-2966724","Chaton Angora turque","160 000 CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2966724_uploaded_image1_1614082274.jpg"
"1739066195-97","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-2968890","Bœuf","Prix sur demande","Dakar, Sénégal",""
"1739066198-98","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Porc","https://sn.coinafrique.com/annonce/autres-animaux/porc-3004606","Porc","2 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3004606_uploaded_image1_1615897391.jpg"
